eventID,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,identifiedBy,identifiedByID,dateIdentified,organismQuantity,organismQuantityType,lifeStage,occurrenceStatus,preparations,scientificNameID,basisOfRecord,identificationReferences,verbatimIdentification,georeferenceVerificationStatus,disposition
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Appendicularian:NA,Appendicularia,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:103357,PreservedSpecimen,WoRMS,Appendicularian,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Brachyuran Zoea:zoea,Brachyura,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,zoea,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:106673,PreservedSpecimen,WoRMS,Brachyuran Zoea,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Calocalanus spp.:NA,Calocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,8,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104193,PreservedSpecimen,WoRMS,Calocalanus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Candacia spp.:NA,Candacia,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,3,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104157,PreservedSpecimen,WoRMS,Candacia spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Centropages spp.:NA,Centropages,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,13,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104159,PreservedSpecimen,WoRMS,Centropages spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Chaetognaths:NA,Chaetognatha,Animalia,Chaetognatha,,,,,Phylum,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,14,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:2081,PreservedSpecimen,WoRMS,Chaetognaths,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Clausocalaus spp.:NA,Clausocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,3,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104161,PreservedSpecimen,WoRMS,Clausocalaus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Copilia mirabilis:NA,Copilia mirabilis,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,Species,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:129038,PreservedSpecimen,WoRMS,Copilia mirabilis,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Corycaeus spp.:NA,Corycaeus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,10,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:128634,PreservedSpecimen,WoRMS,Corycaeus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Echinoderm larvae:larvae,Echinoderes,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Echinoderes,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,larvae,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:101084,PreservedSpecimen,WoRMS,Echinoderm larvae,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Hyperiid Amphipods:NA,Hyperiidea,Animalia,Arthropoda,Malacostraca,Amphipoda,,,Suborder,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:1205,PreservedSpecimen,WoRMS,Hyperiid Amphipods,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Jellyfish:NA,Scyphozoa,Animalia,Cnidaria,Scyphozoa,,,,Class,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:135220,PreservedSpecimen,WoRMS,Jellyfish,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Labidocera spp.:NA,Labidocera,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104208,PreservedSpecimen,WoRMS,Labidocera spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Larvaceans:NA,Appendicularia,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:103357,PreservedSpecimen,WoRMS,Larvaceans,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Microsatellae spp.:NA,Microsetella,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:115341,PreservedSpecimen,WoRMS,Microsatellae spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Oithona spp.:NA,Oithona,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:106485,PreservedSpecimen,WoRMS,Oithona spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Ostracods:NA,Ostracoda,Animalia,Arthropoda,Ostracoda,,,,Class,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:1078,PreservedSpecimen,WoRMS,Ostracods,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Paracalanus spp.:NA,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104196,PreservedSpecimen,WoRMS,Paracalanus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Pteropods:NA,Pteropoda,Animalia,Mollusca,Gastropoda,Pteropoda,,,Order,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:325345,PreservedSpecimen,WoRMS,Pteropods,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Round Fish Eggs:eggs,Actinopterygii,Animalia,Chordata,,,,,Gigaclass,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,3,Summation of 3x 5mL Aliquots,eggs,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:10194,PreservedSpecimen,WoRMS,Round Fish Eggs,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Salps:NA,Salpa,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,5,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:137233,PreservedSpecimen,WoRMS,Salps,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Siphonophore:NA,Siphonophora,Animalia,Cnidaria,Hydrozoa,Siphonophora,,,Order,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,13,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:254409,PreservedSpecimen,WoRMS,Siphonophore,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Stomatopod Larvae:larvae,Stomatopora,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Stomatoporidae,Stomatopora,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,larvae,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:111048,PreservedSpecimen,WoRMS,Stomatopod Larvae,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Temora sp.:NA,Temora,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104241,PreservedSpecimen,WoRMS,Temora sp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10,WS17275:stnLK:500um:2017-10-10:Undinula vulgaris:NA,Undinula vulgaris,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,Species,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,8,Summation of 3x 5mL Aliquots,,present,seawater and 10% formalin before analysis in cod ends | 70% ethanol after analysis in vials,urn:lsid:marinespecies.org:taxname:104473,PreservedSpecimen,WoRMS,Undinula vulgaris,verified by contributor,in collection
