datasetID,eventID,orig_term,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,distance_m,734.755,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,flowmeter_out,2999,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,dillution,1000,,,milliliter,,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,dillution_factor,200,,,,,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,split_amount,0,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,splits_analyzed,0,,,,,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,volume_filt_cubic_m,144.268806886773,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,pipette_vol_m_l,5,,,milliliter,,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,ind_m3,3.23470247475549,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,number_ind_sample,466.666666666667,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,tow_time_min,4.83,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,split_size,0.5,,,,,
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,tow_speed_m_sec,2.53538647342995,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,mesh,500,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
IMaRS_MBON_zooplankton:SV18067,IMaRS_MBON_zooplankton:SV18067:stnLK:500um:2018-03-09T15:03:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
