occurrenceID,eventID,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,247.205,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,1009,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,500,,,milliliter,,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,100,,,,,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,0,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,0,,,,,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,48.5385882456665,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,5,,,milliliter,,
,WS17275:stnLK:500um:2017-10-10T19:15:00Z,5,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
