eventID,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,recordedBy,recordedByID,dateIdentified,individualCount,organismQuantity,organismQuantityType,lifeStage,occurrenceStatus,preparations,scientificNameID,basisOfRecord,identificationReferences,verbatimIdentification,georeferenceVerificationStatus,dispostion
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Appendicularian:adult,Appendicularia,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,1.3734776613042214,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:103357,PreservedSpecimen,WoRMS,Appendicularian,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Brachyuran Zoea:zoea,Brachyura,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,0.6867388306521107,Individuals per cubic metre,zoea,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:106673,PreservedSpecimen,WoRMS,Brachyuran Zoea,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Calocalanus spp.:adult,Calocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,8,5.493910645216886,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104193,PreservedSpecimen,WoRMS,Calocalanus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Candacia spp.:adult,Candacia,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,3,2.060216491956332,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104157,PreservedSpecimen,WoRMS,Candacia spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Centropages spp.:adult,Centropages,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,13,8.92760479847744,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104159,PreservedSpecimen,WoRMS,Centropages spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Chaetognaths:adult,Chaetognatha,Animalia,Chaetognatha,,,,,Phylum,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,14,9.614343629129552,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:2081,PreservedSpecimen,WoRMS,Chaetognaths,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Clausocalaus spp.:adult,Clausocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,3,2.060216491956332,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104161,PreservedSpecimen,WoRMS,Clausocalaus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Copilia mirabilis:adult,Copilia mirabilis,Animalia,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,Species,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,2,1.3734776613042214,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:129038,PreservedSpecimen,WoRMS,Copilia mirabilis,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Corycaeus spp.:adult,Corycaeus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,10,6.867388306521109,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:128634,PreservedSpecimen,WoRMS,Corycaeus spp.,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Echinoderm larvae:larvae,Echinoderes,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Echinoderes,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,0.6867388306521107,Individuals per cubic metre,larvae,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:101084,PreservedSpecimen,WoRMS,Echinoderm larvae,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Hyperiid Amphipods:adult,Hyperiidea,Animalia,Arthropoda,Malacostraca,Amphipoda,,,Suborder,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,0.6867388306521107,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:1205,PreservedSpecimen,WoRMS,Hyperiid Amphipods,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Jellyfish:adult,Scyphozoa,Animalia,Cnidaria,Scyphozoa,,,,Class,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,0.6867388306521107,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:135220,PreservedSpecimen,WoRMS,Jellyfish,verified by contributor,in collection
WS17275:stnLK:500um:2017-10-10T19:15:00Z,WS17275:stnLK:500um:2017-10-10T19:15:00Z:Labidocera spp.:adult,Labidocera,Animalia,Arthropoda,Copepoda,Calanoida,Pontellidae,Labidocera,Genus,Natalia Lopez Figueroa,https://orcid.org/0000-0002-7527-0481,2021-12-02,1,0.6867388306521107,Individuals per cubic metre,adult,present,formalin before analysis | ethanol after analysis,urn:lsid:marinespecies.org:taxname:104208,PreservedSpecimen,WoRMS,Labidocera spp.,verified by contributor,in collection
